response.keys, response.corr, response.rt, mouseResp.clicked_name, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, mainTrials.thisRepN, mainTrials.thisTrialN, mainTrials.thisN, mainTrials.thisIndex, mainTrials.ran, mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , targImage, 1, 0, 8, 5, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 1, 1, 7, 1, -0.125, v, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 4, 1, 7, 1, -0.375, c, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 6, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, 1, 0, 8, 3, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.6666, -0.125, v, 1, 0, 40, 13, 1, 39, 1.6666, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.375, c, 1, 0, 40, 8, 1, 39, 1.4444, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.2222, 0.125, b, 1, 0, 40, 6, 1, 39, 1.2222, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, 0.375, n, 1, 0, 40, 11, 1, 39, 1.4444, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.5554, -0.375, c, 1, 0, 40, 28, 1, 39, 2.5554, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.6666, 0.375, n, 1, 0, 40, 15, 1, 39, 1.6666, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.6666, 0.125, b, 1, 0, 40, 14, 1, 39, 1.6666, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.125, v, 1, 0, 40, 37, 1, 39, 2.9998, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, -0.125, v, 1, 0, 40, 25, 1, 39, 2.3332, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.7776, 0.375, n, 1, 0, 40, 35, 1, 39, 2.7776, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.111, 0.375, n, 1, 0, 40, 23, 1, 39, 2.111, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, 1, 0, 40, 2, 1, 39, 1, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.7776, -0.375, c, 1, 0, 40, 32, 1, 39, 2.7776, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.7776, 0.125, b, 1, 0, 40, 34, 1, 39, 2.7776, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, -0.125, v, 1, 0, 40, 9, 1, 39, 1.4444, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.111, 0.125, b, 1, 0, 40, 22, 1, 39, 2.111, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.125, b, 1, 0, 40, 26, 1, 39, 2.3332, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.2222, 0.375, n, 1, 0, 40, 7, 1, 39, 1.2222, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.5554, 0.375, n, 1, 0, 40, 31, 1, 39, 2.5554, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.6666, -0.375, c, 1, 0, 40, 12, 1, 39, 1.6666, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, -0.375, c, 1, 0, 40, 16, 1, 39, 1.8888, -0.375, c, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, 1, 0, 40, 1, 1, 39, 1, -0.125, v, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, 0.375, n, 1, 0, 40, 39, 1, 39, 2.9998, 0.375, n, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.4444, 0.125, b, 1, 0, 40, 10, 1, 39, 1.4444, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.5554, 0.125, b, 1, 0, 40, 30, 1, 39, 2.5554, 0.125, b, andre, 001, 2019-01-12_17h24.43.385, choiceRTT, 60
