response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
b,1,12.38800001,0.037101935,-0.141168155,0,0,0,1,0,8,6,1,7,1,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,,,,,,
n,0,1.390000105,0.037101935,-0.141168155,0,0,0,1,0,8,2,1,7,1,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,,,,,,
v,0,0.922999859,0.037101935,-0.141168155,0,0,0,1,0,8,4,1,7,1,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,,,,,,
n,1,5.673000097,0.037101935,-0.141168155,0,0,0,1,0,8,3,1,7,1,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,,,,,,
b,0,1.590000153,0.037101935,-0.141168155,0,0,0,1,0,8,1,1,7,1,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,,,,,,
n,1,20.12199998,0.037101935,-0.141168155,0,0,0,1,0,8,7,1,7,1,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,,,,,,
v,0,1.607000113,0.037101935,-0.141168155,0,0,0,1,0,8,0,1,7,1,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,,,,,,
n,0,1.938999891,0.037101935,-0.141168155,0,0,0,1,0,8,5,1,7,1,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,,,,,,
n,0,1.121999979,0.037101935,-0.141168155,0,0,0,,,,,,,1,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,2,1,39
n,1,2.355999947,0.037101935,-0.141168155,0,0,0,,,,,,,2.9998,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,39,1,39
v,0,1.455999851,0.037101935,-0.141168155,0,0,0,,,,,,,1.6666,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,12,1,39
v,0,1.457000017,0.037101935,-0.141168155,0,0,0,,,,,,,1.2222,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,7,1,39
n,0,5.256000042,0.037101935,-0.141168155,0,0,0,,,,,,,2.111,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,22,1,39
c,1,1.49000001,0.037101935,-0.141168155,0,0,0,,,,,,,2.111,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,20,1,39
n,1,0.45600009,0.037101935,-0.141168155,0,0,0,,,,,,,2.5554,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,31,1,39
v,1,0.523000002,0.037101935,-0.141168155,0,0,0,,,,,,,2.111,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,21,1,39
n,1,0.572000027,0.037101935,-0.141168155,0,0,0,,,,,,,2.7776,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,35,1,39
c,1,0.588999987,0.037101935,-0.141168155,0,0,0,,,,,,,1,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,0,1,39
c,1,0.42200017,0.037101935,-0.141168155,0,0,0,,,,,,,2.3332,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,24,1,39
b,1,0.97300005,0.037101935,-0.141168155,0,0,0,,,,,,,2.3332,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,26,1,39
n,1,2.45600009,0.037101935,-0.141168155,0,0,0,,,,,,,1,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,3,1,39
b,1,1.089999914,0.037101935,-0.141168155,0,0,0,,,,,,,1.8888,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,18,1,39
c,1,1.005000114,0.037101935,-0.141168155,0,0,0,,,,,,,1.8888,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,16,1,39
c,1,0.621999979,0.037101935,-0.141168155,0,0,0,,,,,,,1.2222,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,4,1,39
n,1,3.039999962,0.037101935,-0.141168155,0,0,0,,,,,,,1.6666,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,15,1,39
n,0,3.006000042,0.037101935,-0.141168155,0,0,0,,,,,,,1.6666,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,13,1,39
b,0,0.138999939,0.037101935,-0.141168155,0,0,0,,,,,,,2.3332,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,27,1,39
n,0,0.106999874,0.037101935,-0.141168155,0,0,0,,,,,,,2.7776,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,32,1,39
n,0,0.541000128,0.037101935,-0.141168155,0,0,0,,,,,,,2.7776,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,34,1,39
v,1,0.656999826,0.037101935,-0.141168155,0,0,0,,,,,,,2.5554,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,29,1,39
b,1,0.593000174,0.037101935,-0.141168155,0,0,0,,,,,,,1.6666,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,14,1,39
c,1,0.922999859,0.037101935,-0.141168155,0,0,0,,,,,,,1.4444,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,8,1,39
b,1,4.272000074,0.037101935,-0.141168155,0,0,0,,,,,,,2.9998,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,38,1,39
n,1,0.389000177,0.037101935,-0.141168155,0,0,0,,,,,,,2.111,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,23,1,39
v,1,1.289000034,0.037101935,-0.141168155,0,0,0,,,,,,,1.8888,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,17,1,39
v,0,0.756000042,0.037101935,-0.141168155,0,0,0,,,,,,,2.5554,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,28,1,39
v,1,0.588999987,0.037101935,-0.141168155,0,0,0,,,,,,,2.3332,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,25,1,39
v,1,0.572999954,0.037101935,-0.141168155,0,0,0,,,,,,,1.2222,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,5,1,39
v,1,0.539000034,0.037101935,-0.141168155,0,0,0,,,,,,,1.4444,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,9,1,39
n,1,1.407000065,0.037101935,-0.141168155,0,0,0,,,,,,,1.4444,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,11,1,39
v,1,0.539999962,0.037101935,-0.141168155,0,0,0,,,,,,,2.7776,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,33,1,39
v,1,3.92200017,0.037101935,-0.141168155,0,0,0,,,,,,,2.9998,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,37,1,39
b,1,3.338999987,0.037101935,-0.141168155,0,0,0,,,,,,,1.2222,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,6,1,39
c,1,0.523000002,0.037101935,-0.141168155,0,0,0,,,,,,,2.9998,-0.375,c,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,36,1,39
n,1,0.588999987,0.037101935,-0.141168155,0,0,0,,,,,,,1.8888,0.375,n,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,19,1,39
v,1,0.756000042,0.037101935,-0.141168155,0,0,0,,,,,,,1,-0.125,v,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,1,1,39
v,0,2.072000027,0.037101935,-0.141168155,0,0,0,,,,,,,2.5554,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,30,1,39
b,1,1.173999786,0.037101935,-0.141168155,0,0,0,,,,,,,1.4444,0.125,b,98,001,2020-08-07_09h04.22.824,choiceRTT,3.1.3,60,1,0,40,10,1,39
